species_plant,mico,,,,
Amaranthus retroflexus,AMNM,,,,
Amaranthus spinosus,AMNM,,,,
Amaranthus tricolor,AM,,,,
Amaranthus viridis,AM,,,,
Amberboa turanica,NM,,,,
Ambrosia artemisiifolia,AM,,,,
Ambrosia trifida,AM,,,,
Amelanchier florida,AM,,,,
Amelanchier ovalis,AM,,,,
Amelanchier spicata,AM,,,,
Amischotolype hispida,AM,,,,
Ammodendron bifolium,AM,,,,
Ammodendron conollyi,AMNM,,,,
Ammophila arenaria,AMNM,,,,
Ammophila breviligulata,AM,,,,
Amomum petaloideum,AM,,,,
Amomum villosum,AM,,,,
Amorpha canescens,AM,,,,
Amorpha crenulata,AM,,,,
Amorpha fruticosa,AMNM,,,,
Amorphophallus bannaensis,AM,,,,
Ampelodesmos mauritanicus,AM,,,,
Amphimas ferrugineus,AM,,,,
Amphimas pterocarpoides,AM,,,,
Amsonia tabernaemontana,AM,,,,
Amygdalus bucharica,AM,,,,
Anabasis aphylla,NM,,,,
Anabasis salsa,NM,,,,
Anacardium excelsum,AM,,,,
Anacardium occidentale,AM,,,,
Anadelphia longifolia,AM,,,,
Anadenanthera colubrina,AM,,,,
Anadenanthera peregrina,AM,,,,
Anagallis arvensis,AM,,,,
Anagallis tenella,AM,,,,
Ananas comosus,AM,,,,
Anaphalis margaritacea,AM,,,,
Anchusa officinalis,AM,,,,
Andropogon gayanus,AM,,,,
Andropogon gerardii,AM,,,,
Andropogon pintoi,AM,,,,
Andropogon virginicus,AM,,,,
Androsace caduca,NM,,,,
Androsace chamaejasme,NM,,,,
Androsace filiformis,NM,,,,
Androsace glacialis,NM,,,,
Androsace obtusifolia,AM,,,,
Androsace septentrionalis,AMNM,,,,
Androsace triflora,NM,,,,
Androsace villosa,AMNM,,,,
Anemonastrum speciosum,AM,,,,
Anemone altaica,AM,,,,
Anemone narcissiflora,AM,,,,
Anemone sylvestris,AM,,,,
Anemonoides nemorosa,AMNM,,,,
Anemonoides ranunculoides,AM,,,,
Anethum graveolens,AM,,,,
Angelica archangelica,AM,,,,
Angelica sylvestris,AM,,,,
Angianthus sp.,AM,,,,
Aniba citrifolia,AM,,,,
Anisoptera grossivenia,EM,,,,
Annona cherimola,AM,,,,
Annona symphyocarpa,AM,,,,
Antennaria caucasica,AM,,,,
Antennaria dioica,AM,,,,
Anthemis abagensis,AM,,,,
