species_plant,mico,,,,
Dahlstedtia muehlbergiana,AM,,,,
Dalbergia obtusifolia,AM,,,,
Dalbergia sissoo,AM,,,,
Dalea candida,AM,,,,
Dalea purpurea,AM,,,,
Dampiera stricta,AM,,,,
Daniella ogea,AM,,,,
Danthonia alpina,AM,,,,
Danthonia decumbens,AM,,,,
Daphne glomerata,AM,,,,
Daphne gnidium,AM,,,,
Daphne laureola,AM,,,,
Daphne mezereum,AMNM,,,,
Datura metel,AM,,,,
Datura stramonium,AM,,,,
Daucus carota,AMNM,,,,
Daviesia corymbosa,AM,,,,
Declieuxia fruticosa,AM,,,,
Decussocarpus gracilior,AM,,,,
Deinbollia pycnophylla,AM,,,,
Delissea leptostegia,AM,,,,
Delosperma herbeum,AM,,,,
Delphinium caucasicum,AM,,,,
Delphinium elatum,AM,,,,
Delphinium oreophilum,NM,,,,
Delphinium pyramidatum,AM,,,,
Dendrocalamus asper,AM,,,,
Dendrocalamus strictus,AMNM,,,,
Dendropanax cuneatus,AM,,,,
Deschampsia antarctica,AMNM,,,,
Deschampsia borealis,NM,,,,
Deschampsia caespitosa,NM,,,,
Deschampsia cespitosa,AMNM,,,,
Deschampsia chapmanii,AM,,,,
Deschampsia flexuosa,AMNM,,,,
Descurainia sophia,NM,,,,
Desmanthus illinoensis,AM,,,,
Desmodium heterocarpon,AM,,,,
Desmodium heterophyllum,AM,,,,
Desmodium illinoense,AM,,,,
Desmodium incanum,AM,,,,
Desmodium microphyllum,AM,,,,
Desmodium paniculatum,AM,,,,
Desmodium sessilifolium,AM,,,,
Detarium macrocarpum,AM,,,,
Deutzia candidissima,AM,,,,
Deutzia carnea,AM,,,,
Deutzia discolor,AMNM,,,,
Deutzia floribunda,AM,,,,
Deutzia japonica,AM,,,,
Deutzia longifolia,AM,,,,
Deutzia parviflora,AM,,,,
Deutzia pulchra,AM,,,,
Deutzia purpurascens,AM,,,,
Deutzia schneideriana,AM,,,,
Deutzia staminea,AM,,,,
Deyeuxia anthoxanthoides,AM,,,,
Deyeuxia autumnalis,AM,,,,
Deyeuxia lapponica,NM,,,,
Deyeuxia pooides,AMNM,,,,
Deyeuxia purpurea,NM,,,,
Dialium guineense,AM,,,,
Dianella ensifolia,AM,,,,
Dianthus barbatus,NM,,,,
Dianthus carthusianorum,AMNM,,,,
Dianthus caryophyllus,NM,,,,
Dianthus chinensis,NM,,,,
Dianthus cretaceus,NM,,,,
Dianthus deltoides,NM,,,,
Dianthus gratianopolitanus,NM,,,,
Dianthus plumarius,NM,,,,
Dianthus ruprechtii,NM,,,,
Dianthus superbus,NM,,,,
Diaphyllum longifolium,AM,,,,
Diasperus lacunarius,AM,,,,
Diasperus latifolius,NM,,,,
Dichanthelium acuminatum,AM,,,,
Dichanthelium clandestinum,AM,,,,
Dichanthelium cynodon,AM,,,,
Dichanthelium dichotomum,AM,,,,
Dicorynia guianensis,AM,,,,
Dictamnus albus,AM,,,,
Dicymbe altsonii,EM,,,,
Dicymbe corymbosa,EM,,,,
Didelotia africana,EM,,,,
Didelotia letouzeyi,EM,,,,
Didymophysa fedtschenkoana,NM,,,,
Dieffenbachia amoena,AM,,,,
Digitalis ambigua,AM,,,,
Digitalis grandiflora,AM,,,,
Digitalis lanata,AM,,,,
Digitalis lutea,AM,,,,
Digitalis purpurea,AMNM,,,,
Digitalis schischkinii,AM,,,,
Digitaria ciliaris,AM,,,,
Digitaria eriantha,AM,,,,
Digitaria ischaemum,AM,,,,
Digitaria longiflora,NM,,,,
Digitaria sabulosa,AM,,,,
Digitaria sanguinalis,AM,,,,
Digitaria violascens,AM,,,,
Dillwyinia parvifolia,EM,,,,
Dillwynia retorta,EM,,,,
Dioon edule,AM,,,,
Dioscorea communis,AM,,,,
Diospyros dichroa,AM,,,,
Diospyros guianensis,AM,,,,
Diospyros kaki,AM,,,,
Diospyros nigrocortex,AM,,,,
Diphysa americana,AM,,,,
Diplolepis nummulariifolia,AM,,,,
Diplotaxis erucoides,AMNM,,,,
Diplotaxis muralis,AMNM,,,,
Dipsacus fullonum,AMNM,,,,
Dipsacus strigosus,AM,,,,
Dipterocarpus acutangulus,EM,,,,
Dipterocarpus globosus,EM,,,,
Dipterocarpus palembanicus,EM,,,,
Dipteryx panamensis,AM,,,,
Discaria articulata,AM,,,,
Discaria chacaye,AM,,,,
Distemonanthus benthamianus,AM,,,,
Distichlis spicata,AM,,,,
Ditaxis lanceolata,AM,,,,
Dittrichia viscosa,AM,,,,
Dodonaea viscosa,AM,,,,
Doronicum macrophyllum,AM,,,,
Dorycnium hirsutum,NM,,,,
Dorycnium pentaphyllum,AM,,,,
Downingia elegans,AM,,,,
Draba fladnizensis,NM,,,,
Draba glabella,NM,,,,
Draba glacialis,NM,,,,
Draba hispida,NM,,,,
Draba nemorosa,NM,,,,
Draba olgae,NM,,,,
Draba rigida,NM,,,,
Draba sibirica,NM,,,,
Draba siliquosa,NM,,,,
Draba supranivalis,NM,,,,
Draba verna,NM,,,,
Dracaena draco,AM,,,,
Dracaena fragrans,NM,,,,
Dracocephalum nutans,AM,,,,
Dracocephalum ruyschiana,AM,,,,
Drepanocaryum sewerzowii,AM,,,,
Drosera anglica,NM,,,,
Drosera intermedia,AMNM,,,,
Drosera longifolia,NM,,,,
Drosera rotundifolia,AMNM,,,,
Dryas caucasica,AMNM,,,,
Dryas octopetala,EM,,,,
Dryas punctata,EM,,,,
Dryobalanops aromatica,EM,,,,
Dryobalanops lanceolata,EM,,,,
Drypetes gossweileri,AM,,,,
Drypetes hoaensis,NM,,,,
Dubautia ciliolata,AM,,,,
Dubautia knudsenii,AM,,,,
Dubautia plantaginea,AM,,,,
Dubautia scabra,AM,,,,
Duchesnea chrysantha,AM,,,,
Duchesnea indica,AM,,,,
Duguetia calycina,AM,,,,
Duguetia pycnastera,AM,,,,
Duguetia quitarensis,AM,,,,
Duguetia rigida,AM,,,,
Duperrea pavettifolia,AM,,,,
Dyera costulata,NM,,,,
Dysphania botrys,AM,,,,
Echeveria elegans,NM,,,,
Echeveria sedoides,NM,,,,
Echinacea angustifolia,AM,,,,
Echinacea purpurea,AM,,,,
Echinaria capitata,AM,,,,
Echinochloa crus-galli,AMNM,,,,
Echinochloa frumentacea,AM,,,,
Echinocystis lobata,AM,,,,
Echinodorus grandiflorus,NM,,,,
Echinolaena inflexa,AM,,,,
Echinophora spinosa,AM,,,,
Echinops ritro,AM,,,,
Echinops sphaerocephalus,AM,,,,
Echinopsis tubiflora,NM,,,,
Echium maculatum,NM,,,,
Echium vulgare,AM,,,,
Eclipta prostrata,AM,,,,
Egeria densa,NM,,,,
Ekebergia capensis,AM,,,,
Elaeagnus angustifolia,AMNM,,,,
Elaeagnus commutata,AM,,,,
Elaeocarpus austroyunnanensis,AM,,,,
Elatine hexandra,AM,,,,
Elatostema parvum,AM,,,,
Eleocharis acutangula,AM,,,,
Eleocharis dulcis,AM,,,,
Eleocharis erythropoda,NM,,,,
Eleocharis geniculata,AMNM,,,,
Eleocharis macrostachya,AMNM,,,,
Eleocharis multicaulis,NM,,,,
Eleocharis ovata,AM,,,,
Eleocharis pachycarpa,NM,,,,
Eleocharis pumilum,NM,,,,
Eleocharis quinqueflora,NM,,,,
Eleocharis scheuchezeri,NM,,,,
Eleocharis tenuis,NM,,,,
Eleocharis triste,NM,,,,
Eleocharis uniglumis,NM,,,,
Eleocharis vaginatum,NM,,,,
Eleusine coracana,AM,,,,
Eleusine indica,AM,,,,
Eleutherococcus senticosus,AMNM,,,,
Eleutherococcus sessiliflorus,AMNM,,,,
Elodea canadensis,NM,,,,
Elsholtzia blanda,AM,,,,
Elsholtzia ciliata,AM,,,,
Elsholtzia cyprianii,AM,,,,
Elymus canadensis,AM,,,,
Elymus caninus,AMNM,,,,
Elymus ciliolata,AM,,,,
Elymus elongatus,AM,,,,
Elymus elymoides,AM,,,,
Elymus farctus,AMNM,,,,
Elymus ferganensis,AM,,,,
Elymus fibrosus,AM,,,,
Elymus gracillima,AM,,,,
Elymus junceiformis,NM,,,,
Elymus kamoji,AM,,,,
Elymus kronokensis,AM,,,,
Elymus pendulinus,AM,,,,
Elymus pycnanthus,AMNM,,,,
Elymus repens,AM,,,,
Elymus semicostatus,AM,,,,
Elymus sibiricus,AM,,,,
Elymus trachycaulus,AM,,,,
Elymus trichophora,AM,,,,
Elymus tschimganicus,AM,,,,
Elymus virginicus,AM,,,,
Elytrigia gracillima,AM,,,,
Elytrigia reflexiaristata,NM,,,,
Elytrigia repens,AM,,,,
Emerus pubescens,AM,,,,
Emilia sonchifolia,AM,,,,
Eminia holubii,AM,,,,
Eminium lehmannii,AM,,,,
Enantia chlorantha,AM,,,,
Enchylaena tomentosa,NM,,,,
Endlicheria bracteolata,AM,,,,
Engelhardia roxburghiana,EM,,,,
Enneapogon avenaceus,AM,,,,
Entandrophragma candollei,AM,,,,
Entandrophragma cylindricum,AM,,,,
Entandrophragma utile,AM,,,,
Enterolobium contortisiliquum,AM,,,,
Enterolobium cyclocarpum,AM,,,,
Enteropogon acicularis,AM,,,,
Epacris microphylla,AM,,,,
Eperua falcata,AM,,,,
Ephedra distachya,AM,,,,
Ephedra intermedia,AM,,,,
Ephedra monosperma,AM,,,,
Ephedra strobilacea,AM,,,,
Ephedra trifurca,AM,,,,
Epilasia hemilasia,NM,,,,
Epilobium alsinifolium,AMNM,,,,
Epilobium anagallidifolium,AM,,,,
Epilobium angustifolium,AMNM,,,,
Epilobium brachycarpum,AMNM,,,,
Epilobium brunnescens,NM,,,,
Epilobium ciliatum,AM,,,,
Epilobium coloratum,AM,,,,
Epilobium hirsutum,AMNM,,,,
Epilobium lanceolatum,AM,,,,
Epilobium nummularifolium,AM,,,,
Epilobium obscurum,AM,,,,
Epilobium palustre,AM,,,,
Epilobium parviflorum,AM,,,,
Epilobium ponticum,AM,,,,
Epilobium roseum,AM,,,,
Epiphyllum hybridum,NM,,,,
Epipremnum pinnatum,AM,,,,
Epiprinus siletianus,NM,,,,
Eragrostis curvula,AM,,,,
Eragrostis dielsii,AM,,,,
Eragrostis ferruginea,AM,,,,
Eragrostis minor,AM,,,,
Eragrostis pilosa,AM,,,,
Eragrostis poaeoides,NM,,,,
Eragrostis spectabilis,AM,,,,
Eragrostis tef,AM,,,,
Erechtites hieracifolia,AM,,,,
Eremogone ledebouriana,NM,,,,
Eremogone longifolia,NM,,,,
Eremogone lychnidea,NM,,,,
Eremophila longifolia,AM,,,,
Eremophila macdonnellii,AM,,,,
Eremopoa altaica,AM,,,,
Eremopyrum bonaepartis,AMNM,,,,
Eremopyrum orientale,AMNM,,,,
Eremosparton flaccidum,NM,,,,
Eremostachys labiosa,AM,,,,
Eremostachys rotala,AM,,,,
Eremostachys sarawschanica,AM,,,,
Eremostachys tuberosa,AM,,,,
Eremurus anisopterus,AM,,,,
Eremurus hissaricus,AM,,,,
Eremurus inderiensis,AM,,,,
Eriachne aristidea,AM,,,,
Eribroma oblongum,AM,,,,
Erigeron acer,NM,,,,
Erigeron acris,AMNM,,,,
Erigeron andicola,AM,,,,
Erigeron animus,AM,,,,
Erigeron annuus,AM,,,,
Erigeron borealis,AM,,,,
Erigeron cabulicus,AM,,,,
Erigeron caucasicus,AM,,,,
Erigeron glabratus,AM,,,,
Erigeron khorossanicus,AM,,,,
Erigeron orientalis,AM,,,,
Erigeron petroiketes,AM,,,,
Erigeron philadelphicus,AM,,,,
Erigeron strigosus,AM,,,,
Erigeron uniflorus,AMNM,,,,
Eriochloa villosa,AM,,,,
Eriocoelum macrocarpum,AM,,,,
Eriophorum angustifolium,AMNM,,,,
Eriophorum callitrix,NM,,,,
Eriophorum gracile,NM,,,,
Eriophorum latifolium,NM,,,,
Eriophorum medium,NM,,,,
Eriophorum polystachion,NM,,,,
Eriophorum scheuchzeri,NM,,,,
Eriophorum vaginatum,AMNM,,,,
Eriophyllum lanatum,AM,,,,
Eriostemon australasius,AM,,,,
Eritrichium nanum,NM,,,,
Eritrichium villosum,NM,,,,
Erodium cicutarium,AMNM,,,,
Erodium crinitum,AM,,,,
Erodium oxyrhinchum,AM,,,,
Eruca vesicaria,NM,,,,
Eryngium campestre,AM,,,,
Eryngium maritimum,AMNM,,,,
Eryngium paniculatum,AM,,,,
Eryngium planum,AM,,,,
Erysimum cheiranthoides,NM,,,,
Erysimum hieraciifolium,NM,,,,
Erysimum ibericum,NM,,,,
Erysimum marschallianum,NM,,,,
Erythranthe guttata,AMNM,,,,
Erythrina berteriana,AM,,,,
Erythrina berteroana,AM,,,,
Erythrina crista-galli,AM,,,,
Erythrina poeppigiana,AM,,,,
Erythronium sibiricum,AM,,,,
Erythrophleum ivorense,AM,,,,
Erythrostemon gilliesii,AM,,,,
Erythroxylum rotundifolium,NM,,,,
Escallonia rubra,AM,,,,
Eschenbachia blinii,AM,,,,
Eschscholzia californica,NM,,,,
Eschweilera sagotiana,AM,,,,
Eschweilera simiorum,AM,,,,
Escontria chiotilla,AM,,,,
Eucalyptus amygdalina,EM,,,,
Eucalyptus bosistoana,AM,,,,
Eucalyptus camaldulensis,EM,,,,
Eucalyptus cinerea,EM,,,,
Eucalyptus cloeziana,EM,,,,
Eucalyptus cordata,EM,,,,
Eucalyptus delegatensis,AM,,,,
Eucalyptus diversicolor,EM,,,,
Eucalyptus dives,AM,,,,
Eucalyptus dunnii,EM,,,,
Eucalyptus erytrocorys,EM,,,,
Eucalyptus euryphylla,EM,,,,
Eucalyptus forestiana,EM,,,,
Eucalyptus globoidea,EM,,,,
Eucalyptus globulus,EM,,,,
Eucalyptus gomphocephala,AM,,,,
Eucalyptus grandis,EM,,,,
Eucalyptus gunnii,EM,,,,
Eucalyptus haemostoma,EM,,,,
Eucalyptus hispida,EM,,,,
Eucalyptus incrassata,AM,,,,
Eucalyptus largiflorens,AM,,,,
Eucalyptus macarthurii,EM,,,,
Eucalyptus maculata,EM,,,,
Eucalyptus marginata,EM,,,,
Eucalyptus melliodora,EM,,,,
Eucalyptus microcorys,EM,,,,
Eucalyptus pilularis,EM,,,,
Eucalyptus pyriformis,EM,,,,
Eucalyptus racemosa,EM,,,,
Eucalyptus sideroxylon,EM,,,,
Eucalyptus sieberi,EM,,,,
Eucalyptus urnigera,EM,,,,
Eucalyptus urophylla,EM,,,,
Eucalyptus viminalis,EM,,,,
Eucalyptus virgata,EM,,,,
Eucalyptus viridis,AM,,,,
Eucalyptus xantipolitensis,EM,,,,
Eucharis grandiflora,AM,,,,
Euclidium syriacum,NM,,,,
Eugenia rubicunda,AM,,,,
Eugenia uniflora,AM,,,,
Euonymus alatus,AMNM,,,,
Euonymus europaeus,AMNM,,,,
Euonymus fortunei,AM,,,,
Euonymus latifolius,AM,,,,
Euonymus maackii,NM,,,,
Euonymus macropterus,AM,,,,
Euonymus verrucosus,AMNM,,,,
Eupatorium cannabinum,AM,,,,
Eupatorium perfoliatum,AM,,,,
Eupatorium serotinum,AM,,,,
Euphorbia amygdaloides,AM,,,,
Euphorbia corollata,AM,,,,
Euphorbia cyparissias,AM,,,,
Euphorbia esula,AM,,,,
Euphorbia gatbergensis,AM,,,,
Euphorbia helioscopia,AMNM,,,,
Euphorbia heterophylla,AM,,,,
Euphorbia hirta,AM,,,,
Euphorbia hypericifolia,AM,,,,
Euphorbia illirica,AM,,,,
Euphorbia lathyris,AM,,,,
Euphorbia lomelii,AM,,,,
Euphorbia parliramulosa,AM,,,,
Euphorbia peplus,AMNM,,,,
Euphorbia pilosa,AM,,,,
Euphorbia prostrata,AM,,,,
Euphorbia rapulum,AM,,,,
Euphorbia royleana,AM,,,,
Euphorbia sarawschanica,AM,,,,
Euphorbia serpens,AM,,,,
Euphorbia stricta,AM,,,,
Euphorbia talaina,AM,,,,
Euphorbia tannensis,AM,,,,
Euphorbia thymifolia,AM,,,,
Euphorbia turczaninowii,AM,,,,
Euphorbion paralium,AM,,,,
Euphrasia brevipila,NM,,,,
Euphrasia caucasica,NM,,,,
Euphrasia frigida,AM,,,,
Euphrasia hirtella,NM,,,,
Euphrasia minima,NM,,,,
Euphrasia nemorosa,NM,,,,
Euphrasia pectinata,NM,,,,
Euphrasia stricta,AMNM,,,,
Eurybia sibirica,AM,,,,
Euryomyrtus ramosissima,EM,,,,
Euterpe edulis,AM,,,,
Euterpe oleracea,AM,,,,
Eutrema edwardsii,NM,,,,
Eutrochium maculatum,AM,,,,
Eysenhardtia polystachya,AM,,,,
Fagonia indica,AM,,,,
Fagopyrum esculentum,NM,,,,
Fagopyrum statice,AM,,,,
Fagopyrum tataricum,AM,,,,
Fagus grandifolia,EM,,,,
Fagus sylvatica,EM,,,,
Fagus taurica,EM,,,,
Faidherbia albida,AM,,,,
Falcataria moluccana,AM,,,,
Fallopia convolvulus,NM,,,,
Fallopia japonica,AMNM,,,,
Fallopia sachalinensis,NM,,,,
Fallopia x,NM,,,,
Ferocactus cylindraceus,AM,,,,
Ferocactus flavovirens,AM,,,,
Ferocactus latispinus,AM,,,,
Ferocactus peninsulae,AM,,,,
Ferula canescens,AM,,,,
Ferula caspica,AM,,,,
Ferula dubjanskyi,AM,,,,
Ferula foetida,AM,,,,
Ferula karelinii,AMNM,,,,
Ferula kokanica,AM,,,,
Ferula lehmannii,AM,,,,
Ferula nuda,AM,,,,
Festuca altissima,AMNM,,,,
Festuca argentina,AM,,,,
Festuca arundinacea,AM,,,,
Festuca baffinensis,AM,,,,
Festuca beckeri,AM,,,,
Festuca brachyphylla,AM,,,,
Festuca brigantina,AM,,,,
Festuca caucasica,AM,,,,
Festuca contracta,NM,,,,
Festuca drymeja,AM,,,,
Festuca gigantea,AMNM,,,,
Festuca glauca,AM,,,,
Festuca heterophylla,AM,,,,
Festuca hyperborea,NM,,,,
Festuca idahoensis,AM,,,,
Festuca juncifolia,AM,,,,
Festuca lemanii,AM,,,,
Festuca oreophila,AM,,,,
Festuca ovina,AMNM,,,,
Festuca pallens,AM,,,,
Festuca pallescens,AM,,,,
Festuca picta,AM,,,,
Festuca pratensis,AMNM,,,,
Festuca rubra,AMNM,,,,
Festuca sibirica,AM,,,,
Festuca trachyphylla,AM,,,,
Festuca valesiaca,AMNM,,,,
Festuca varia,AM,,,,
Festuca versicolor,AM,,,,
Festuca vivipara,AM,,,,
Feuilleea schimperiana,AM,,,,
Ficinia nodosa,AM,,,,
Ficus carica,AMNM,,,,
Ficus citrifolia,AM,,,,
Ficus cyrtophylla,NM,,,,
Ficus elastica,AM,,,,
Ficus hirta,AM,,,,
Ficus hispida,AMNM,,,,
Ficus langkokensis,AM,,,,
Ficus pandurata,NM,,,,
Ficus pumila,AM,,,,
Filago arvensis,AM,,,,
Filipendula ulmaria,AMNM,,,,
Filipendula vulgaris,AM,,,,
Fimbristylis complanata,NM,,,,
Fimbristylis cymosa,NM,,,,
Fimbristylis dichotoma,NM,,,,
Fimbristylis eragrostis,AM,,,,
Fimbristylis falcata,AM,,,,
Fimbristylis miliacea,AM,,,,
Fimbristylis schoenoides,NM,,,,
Fimbristylis trachycarya,NM,,,,
Flindersia australis,AM,,,,
Flindersia brayleana,AM,,,,
Flindersia brayleyana,AM,,,,
Flindersia maculosa,AM,,,,
Flindersia oxleyana,AM,,,,
Florestina tripteris,AM,,,,
Flourensia cernua,AM,,,,
Foeniculum vulgare,AM,,,,
Forsythia europaea,AM,,,,
Forsythia suspensa,AM,,,,
Fouquieria diguetii,AM,,,,
Fragaria moschata,AM,,,,
Fragaria vesca,AMNM,,,,
Fragaria virginiana,AM,,,,
Fragaria viridis,AM,,,,
Fragaria x,AM,,,,
Fragaria xananassa,AM,,,,
Frankenia hirsuta,NM,,,,
Frankenia plicata,AM,,,,
Frankenia pulverulenta,NM,,,,
Fraxinus americana,AM,,,,
Fraxinus angustifolia,AM,,,,
Fraxinus chinensis,AMNM,,,,
Fraxinus excelsior,AMNM,,,,
Fraxinus mandshurica,NM,,,,
Fraxinus ornus,AM,,,,
Fraxinus pennsylvanica,AMNM,,,,
Fraxinus rotundifolia,AM,,,,
Fraxinus uhdei,AM,,,,
Freycinetia arborea,AM,,,,
Fritillaria collina,AM,,,,
Fritillaria karelinii,AM,,,,
Fuchsia magellanica,AM,,,,
Fuirena ciliaris,NM,,,,
Fumana procumbens,EM,,,,
Fumana thymifolia,AM,,,,
Fumaria officinalis,AMNM,,,,
Fumaria vaillantii,NM,,,,
Gagea bergii,AM,,,,
Gagea bohemica,AM,,,,
Gagea bulbifera,AMNM,,,,
Gagea divaricata,AM,,,,
Gagea glacialis,AM,,,,
Gagea liotardii,AM,,,,
Gagea nakaiana,AMNM,,,,
Gagea reticulata,AM,,,,
Gagea tenera,NM,,,,
Gahnia vitiensis,AM,,,,
Gaillardia aestivalis,AM,,,,
Galanthus nivalis,AM,,,,
Galarhoeus irgisensis,AM,,,,
Galatella punctata,AM,,,,
Galega orientalis,AMNM,,,,
Galeobdolon luteum,AMNM,,,,
Galeobdolon montanum,AM,,,,
Galeopsis bifida,AM,,,,
Galeopsis segetum,NM,,,,
Galeopsis speciosa,AM,,,,
Galeopsis tetrahit,NM,,,,
Galinsoga parviflora,AM,,,,
Galinsoga quadriradiata,AM,,,,
Galinsoga supinum,AM,,,,
Galinsoga sylvaticum,AM,,,,
Galinsoga uliginosum,AM,,,,
Galium album,AM,,,,
Galium antarcticum,AM,,,,
Galium aparine,AMNM,,,,
Galium aureum,AM,,,,
Galium boreale,AM,,,,
Galium geniculatum,AM,,,,
Galium hercynicum,NM,,,,
Galium hypocarpium,AM,,,,
Galium lucidum,AM,,,,
Galium mollugo,AMNM,,,,
Galium odoratum,AMNM,,,,
Galium palustre,AMNM,,,,
Galium ruthenicum,AM,,,,
Galium saurense,AM,,,,
Galium saxatile,AMNM,,,,
Galium spurium,AM,,,,
Galium sterneri,AMNM,,,,
Galium tenuissimum,AMNM,,,,
Galium tinctorium,AM,,,,
Galium uliginosum,NM,,,,
Galium verum,AMNM,,,,
Gamochaeta norvegica,AM,,,,
Gamochaeta sylvatica,AM,,,,
Garcinia cowa,NM,,,,
Garcinia kola,AM,,,,
Garcinia lucida,AM,,,,
Garcinia xanthochymus,AM,,,,
Gasteria verrucosa,AM,,,,
Gastrolychnis longicarpophora,NM,,,,
Gaudinia fragilis,AM,,,,
Gazania linearis,AM,,,,
Genipa americana,AM,,,,
Genista hirsute,AM,,,,
Genista tinctoria,AM,,,,
Gentiana acaulis,AM,,,,
Gentiana algida,NM,,,,
Gentiana angulosa,AMNM,,,,
Gentiana aquatica,NM,,,,
Gentiana asclepiadea,AM,,,,
Gentiana clusii,AM,,,,
Gentiana cruciata,AM,,,,
Gentiana dshimilensis,AMNM,,,,
Gentiana nivalis,AMNM,,,,
Gentiana olivieri,AM,,,,
Gentiana pneumonanthe,AMNM,,,,
Gentiana pseudoaquatica,AM,,,,
Gentiana septemfida,AM,,,,
Gentiana verna,AM,,,,
Gentianella amarella,AM,,,,
Gentianella campestris,AM,,,,
Gentianella caucasea,AMNM,,,,
Gentianella detonsa,AM,,,,
Gentianella germanica,AM,,,,
Gentianusa lutea,AM,,,,
Gentianusa punctata,AM,,,,
Geoffroea decorticans,AM,,,,
Geophila herbacea,AM,,,,
Geraniospermum bifolium,AM,,,,
Geranium albanum,AM,,,,
Geranium albiflorum,AM,,,,
Geranium asphodeloides,AM,,,,
Geranium carolinianum,AM,,,,
Geranium dissectum,AM,,,,
Geranium gymnocaulon,AM,,,,
Geranium ibericum,AMNM,,,,
Geranium linearilobum,AM,,,,
Geranium lucidum,AMNM,,,,
Geranium molle,AMNM,,,,
Geranium nodosum,AM,,,,
Geranium pratense,AM,,,,
Geranium purpureum,AM,,,,
Geranium pusillum,AM,,,,
Geranium pyrenaicum,AM,,,,
Geranium robertianum,AMNM,,,,
Geranium rotundifolium,AM,,,,
Geranium ruprechtii,AM,,,,
Geranium sanguineum,AMNM,,,,
Geranium saxatile,AM,,,,
Geranium sessiliflorum,AM,,,,
Geranium sibiricum,AM,,,,
Geranium sinense,AM,,,,
Geranium sylvaticum,AMNM,,,,
Geranium tataricum,AM,,,,
Geranium tuberosum,AM,,,,
Geum aleppicum,AM,,,,
Geum reptans,AM,,,,
Geum rivale,AMNM,,,,
Geum triflorum,AM,,,,
Geum urbanum,AM,,,,
Geum virginianum,AM,,,,
Gigantochloa verticillata,NM,,,,
Gilbertiodendron brachystegioides,EM,,,,
Gilbertiodendron dewevrei,EM,,,,
Gilbertiodendron preussii,EM,,,,
Ginkgo biloba,AM,,,,
Gironniera subaequalis,NM,,,,
Gladiolus hybridus,AM,,,,
Gladiolus italicus,AM,,,,
Gladiolus palustris,AM,,,,
Glaux maritima,AM,,,,
Glebionis carinata,AM,,,,
Glechoma hederacea,AMNM,,,,
Gleditsia amorphoides,EM,,,,
Gleditsia triacanthos,AMNM,,,,
Gliricidia sepium,AM,,,,
Glochidion ellipticum,NM,,,,
Glyceria acutiflora,NM,,,,
Glyceria fluitans,AMNM,,,,
Glyceria maxima,NM,,,,
Glyceria notata,AMNM,,,,
Glyceria striata,AM,,,,
Glyceria tonglensis,NM,,,,
Glycine max,AM,,,,
Glycyrrhiza aspera,AM,,,,
Glycyrrhiza glabra,AM,,,,
Glycyrrhiza korshinskyi,AM,,,,
Gnaphalium supinum,AMNM,,,,
Gnaphalium uliginosum,AM,,,,
Gnephosis eriocarpa,AM,,,,
Gnetum africanum,EM,,,,
Gnetum buchholzianum,EM,,,,
Gnetum gnemon,AM,,,,
Goldbachia laevigata,NM,,,,
Gomidesia spectabilis,AM,,,,
Gompholobium grandiflorum,AM,,,,
Gomphostemma microdon,AM,,,,
Gomphrena globosa,AM,,,,
Goniolimon callicomum,NM,,,,
Goniolimon caucasicum,NM,,,,
Goniolimon speciosum,NM,,,,
Goniothalamus griffithii,AM,,,,
Gonystylus bancanus,AM,,,,
Goodenia cycloptera,AM,,,,
Goodenia lunata,AM,,,,
Gossweilerodendron balsamiferum,AM,,,,
Gossypium arboreum,AM,,,,
Gossypium hirsutum,AM,,,,
Gossypium tomentosum,AM,,,,
Graffenrieda emarginata,EM,,,,
Gratiola officinalis,AM,,,,
Grevillea robusta,NM,,,,
Grewia biloba,AM,,,,
Griselinia littoralis,AM,,,,
Guarea kunthiana,AM,,,,
Guazuma ulmifolia,AM,,,,
Guibourtia tessmannii,AM,,,,
Guilandina dioica,NM,,,,
Guizotia abyssinica,AM,,,,
Gunnera petaloidea,AM,,,,
Gutierrezia microcephala,AM,,,,
Gutierrezia sarothrae,AM,,,,
Gymnopogon brevifolius,AM,,,,
Gymnosperma glutinosum,AM,,,,
Gymnospermium albertii,AM,,,,
Gypsophila altissima,NM,,,,
Gypsophila cephalotes,NM,,,,
Gypsophila elegans,NM,,,,
Gypsophila fastigiata,NM,,,,
Gypsophila repens,AMNM,,,,
Gypsophila uralensis,NM,,,,
Haemanthus albiflos,AM,,,,
Hagenia abyssinica,AM,,,,
Halimione portulacoides,AMNM,,,,
Halimodendron halodendron,AMNM,,,,
Halothamnus glaucus,NM,,,,
Haloxylon ammodendron,NM,,,,
Haloxylon persicum,NM,,,,
Hamamelis virginiana,AM,,,,
Handroanthus chrysotrichus,AM,,,,
Handroanthus serratifolius,AM,,,,
Haplopappus venetus,AM,,,,
Hardwickia mannii,AM,,,,
Harpullia ramiflora,AM,,,,
Havardia albicans,AM,,,,
Haworthia fasciata,AM,,,,
Haworthia tortuosa,AM,,,,
Hechtia podantha,AM,,,,
Hedera colchica,AM,,,,
Hedera helix,AM,,,,
Hedyotis elatior,AM,,,,
Hedyotis foggiana,AM,,,,
Hedyotis terminalis,AM,,,,
Hedyotis vestita,AM,,,,
Hedysarum arcticum,AM,,,,
Hedysarum caucasicum,AM,,,,
Hedysarum confertum,AM,,,,
Hedysarum coronarium,AM,,,,
Hedysarum denticulatum,AM,,,,
Hedysarum grandiflorum,AM,,,,
