Author;year;journal;species;Date;season;plot;d18O_permil;d2H_permil;xylem;plant_tissue;OBS1;OBS2;OBS3
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;1.012658228;-21.93548387;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jul;NA;NA;1.417721519;-21.29032258;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-4.4;-40;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-4.2;-41.29032258;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-4.2;-32.25806452;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-3.9;-34.83870968;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-3.6;-36.12903226;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-3.6;-38.06451613;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-4.1;-30.32258065;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-3.3;-29.67741935;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-3;-28.38709677;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-3.1;-32.25806452;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-2.8;-34.19354839;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-3.3;-34.19354839;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-2.2;-30.96774194;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-2;-30.32258065;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-1.7;-28.38709677;no;rizhome;NA;NA;NA
Moore;2016;Ecohydrology;Arundo donax;2011Jun;NA;NA;-1.2;-23.87096774;no;rizhome;NA;NA;NA
