"study","campaign","species_plant","natural","leaf_habit","leaf_shape","plant_group","growth_form","woodiness","season","climate_class","log","lat","elevation","map","mat","mean_offset","se_offset","n_offset","mean_dexcess","se_dexcess","mean_lcexcess","se_lcexcess","SWLslope","SWLslope.std.error","SWLslope.pvalue","SWLintercept","SWLintercept.std.error","SWLintercept.pvalue","SWLrsquared","n_SWL","lang","absoluteOffset"
"Geris-2017","Geris-2017-201211-POD","Pinus sylvestris","natural","evergreen","narrowleaved","gymnosperm","tree","tree","dry","warm",-3.12,56.9,680,1048,5,-2.0653740201565,NA,1,2.73504999999999,NA,-7.15777080000002,NA,4.04102528671582,1.15090440919655,0.0170792427102503,-30.0520931502638,9.73939239179028,0.0272947282893695,0.711455350378444,7,209.6,2.0653740201565
"Geris-2017","Geris-2017-201306-POD","Calluna vulgaris","natural","evergreen","narrowleaved","angiosperm","shrub","shrub","dry","warm",-3.12,56.9,680,1048,5,-4.9230218892137,NA,1,-2.43624000000001,NA,-11.6887816,NA,7.47063153382562,1.77956189006099,0.00850579160543656,-0.761205978161149,14.146094435086,0.959170121460747,0.77898939655478,7,209.6,4.9230218892137
"Geris-2017","Geris-2017-201306-POD","Pinus sylvestris","natural","evergreen","narrowleaved","gymnosperm","tree","tree","dry","warm",-3.12,56.9,680,1048,5,-6.49859858158324,5.53727458756604,2,-3.798775,5.442335,-13.1479034,5.4853778,7.47063153382562,1.77956189006099,0.00850579160543656,-0.761205978161149,14.146094435086,0.959170121460747,0.77898939655478,7,209.6,6.49859858158324
"Gierke-2016","Gierke-2016-201111-NA","Pseudotsuga menziesii","natural","evergreen","narrowleaved","gymnosperm","tree","tree","dry","arid",-105.573,32.91694,2500,525,9.2,3.36641348207927,0.930883600173856,10,-4.66,1.20887459141872,-17.808,1.34251240424644,3.92231328800212,0.773201772426046,0.000961642916033318,-35.0614763826252,5.77281991728035,0.000298046807446779,0.762847029123204,10,57.0652173913043,3.36641348207927
"Gierke-2016","Gierke-2016-201202-NA","Pseudotsuga menziesii","natural","evergreen","narrowleaved","gymnosperm","tree","tree","dry","arid",-105.573,32.91694,2500,525,9.2,10.7728640192539,2.33178223452923,4,-6.85,2.81113855937412,-19.23,2.9038078448823,5.92057761732852,0.291801580095838,0.0313510725610998,-35.4019253910951,1.76670535095156,0.0317436766468153,0.997576776618367,3,57.0652173913043,10.7728640192539
"Goldsmith-2012","Goldsmith-2012-200903-Secondary","several","natural","evergreen",NA,NA,"tree","tree","dry","warm",-97.04,19.45,2100,1721,14.9,-0.392695612844871,1.2704818569271,22,-2.54545454545455,1.15418919410513,-18.8490909090909,1.14939752882114,6.2953091684435,0.368807840877018,9.12116734738976e-21,-9.20398009950248,2.63438855287554,0.00111673410683602,0.871397108290175,45,115.503355704698,0.392695612844871
"Goldsmith-2012","Goldsmith-2012-201005-Mature","several","natural","evergreen",NA,NA,"tree","tree","dry","warm",-97.04,19.45,2100,1721,14.9,-1.5459080393291,0.905241764072145,26,4,0.90468864172241,-12.3061538461539,0.906246201379511,6.64097744360902,0.516113172914619,2.43292990776462e-16,-0.0469924812029975,3.07846593981428,0.987891451484956,0.793831368126438,45,115.503355704698,1.5459080393291
"GomezNavarro-2019","GomezNavarro-2019-201606-NA","several","urban garden","evergreen",NA,NA,"tree","tree","dry","arid",111.93,40.76,1300,383,6.2,-2.27694680592989,1.22935678750095,49,-12.2620595918367,1.66642326286124,-16.5590270734694,1.55777735402693,2.3349801227857,0.57141719519149,0.000211388621999849,-79.7794398174817,7.26172804232111,1.66899121169986e-13,0.299793057266032,41,61.7741935483871,2.27694680592989
"GomezNavarro-2019","GomezNavarro-2019-201607-NA","several","urban garden","evergreen",NA,NA,"tree","tree","dry","arid",111.93,40.76,1300,383,6.2,-6.9503416772473,0.94849745192365,55,-13.1458996363636,2.32572233453878,-18.2152857381818,2.12082903162158,2.12989674715033,0.552258791177245,0.00050438264897877,-84.6438248847505,7.1420592969709,1.95505071110744e-13,0.310692558660834,35,61.7741935483871,6.9503416772473
"GomezNavarro-2019","GomezNavarro-2019-201609-NA","several","urban garden","evergreen",NA,NA,"tree","tree","dry","arid",111.93,40.76,1300,383,6.2,-6.22672032669369,1.05363181333883,38,-16.1669002631579,1.46921099379903,-21.1439474052632,1.38208590799526,3.39933761517454,0.927995075029005,0.0010713711613806,-70.8495127324716,11.297473582974,1.03846695212976e-06,0.331985636245884,29,61.7741935483871,6.22672032669369
